City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lucapa,-8.4192,20.7447,290.76,96,99,1.05,AO,1674523668
1,padang,-0.9492,100.3543,297.18,89,100,1.78,ID,1674523505
2,punta arenas,-53.15,-70.9167,284.21,50,0,11.83,CL,1674523489
3,kaitangata,-46.2817,169.8464,288.23,56,49,4.21,NZ,1674523634
4,bluff,-46.6,168.3333,286.73,58,13,4.43,NZ,1674523566
5,vanavara,60.34,102.2797,236.68,97,100,1.34,RU,1674523669
6,rikitea,-23.1203,-134.9692,299.55,74,0,7.75,PF,1674523403
7,carnarvon,-24.8667,113.6333,298.5,68,88,5.61,AU,1674523670
8,ohara,35.25,140.3833,279.07,89,100,3.14,JP,1674523670
9,alegrete,-29.7831,-55.7919,301.61,24,0,4.86,BR,1674523670
10,norman wells,65.282,-126.8329,245.17,76,40,0.0,CA,1674523631
11,cherskiy,68.75,161.3,246.52,94,100,1.86,RU,1674523619
12,cape town,-33.9258,18.4232,293.08,73,20,8.23,ZA,1674523359
13,ciudad guayana,8.3533,-62.6528,299.55,76,8,3.53,VE,1674523671
14,toora-khem,52.4675,96.11,251.83,99,100,0.43,RU,1674523672
15,hermanus,-34.4187,19.2345,290.87,81,0,5.95,ZA,1674523602
16,hithadhoo,-0.6,73.0833,299.66,77,64,4.44,MV,1674523587
17,busselton,-33.65,115.3333,297.59,53,0,6.91,AU,1674523552
18,puerto escondido,15.85,-97.0667,299.61,69,0,2.06,MX,1674523412
19,arraial do cabo,-22.9661,-42.0278,297.23,91,100,3.84,BR,1674523561
20,jiamusi,46.8333,130.35,245.55,78,100,4.42,CN,1674523673
21,bambous virieux,-20.3428,57.7575,297.16,94,75,2.57,MU,1674523583
22,provideniya,64.3833,-173.3,259.21,61,20,9.0,RU,1674523616
23,lebu,-37.6167,-73.65,290.73,89,100,3.56,CL,1674523551
24,ahipara,-35.1667,173.1667,295.79,66,100,1.94,NZ,1674523674
25,ushuaia,-54.8,-68.3,281.96,93,75,1.54,AR,1674523502
26,vaini,-21.2,-175.2,303.24,84,40,2.57,TO,1674523565
27,montgomery,39.1501,-77.1997,277.4,68,100,6.69,US,1674523675
28,khudumelapye,-23.8833,24.75,293.92,56,23,3.58,BW,1674523675
29,lakatoro,-16.0999,167.4164,302.34,74,92,4.38,VU,1674523675
30,arrecife,28.963,-13.5477,289.14,67,20,4.63,ES,1674523676
31,thompson,55.7435,-97.8558,245.24,76,20,2.06,CA,1674523556
32,guane,22.2025,-84.0875,295.72,85,2,2.04,CU,1674523676
33,margate,51.3813,1.3862,278.65,79,100,2.24,GB,1674523677
34,ponta do sol,32.6667,-17.1,289.82,67,10,3.33,PT,1674523601
35,dingle,10.9995,122.6711,298.99,85,100,5.72,PH,1674523678
36,pachino,36.7186,15.0907,282.8,64,5,1.35,IT,1674523678
37,entre rios,-11.9419,-38.0844,295.21,88,81,1.53,BR,1674523678
38,barrow,71.2906,-156.7887,251.16,84,75,8.23,US,1674523584
39,georgetown,5.4112,100.3354,300.11,93,20,1.54,MY,1674523448
40,hilo,19.7297,-155.09,301.0,74,20,5.66,US,1674523553
41,clyde river,70.4692,-68.5914,237.28,68,0,1.54,CA,1674523679
42,saskylakh,71.9167,114.0833,251.81,80,100,1.92,RU,1674523634
43,tasiilaq,65.6145,-37.6368,267.24,68,100,2.47,GL,1674523580
44,narsaq,60.9167,-46.05,265.27,75,100,2.01,GL,1674523593
45,albany,42.6001,-73.9662,272.32,83,42,2.24,US,1674523350
46,upernavik,72.7868,-56.1549,250.22,98,100,2.59,GL,1674523600
47,santa lucia,27.9117,-15.5407,286.77,55,75,5.66,ES,1674523651
48,labuhan,-6.8844,112.2051,300.02,79,100,1.82,ID,1674523681
49,denpasar,-8.65,115.2167,303.96,74,20,2.57,ID,1674523587
50,babu,24.4167,111.5167,280.93,61,52,4.77,CN,1674523506
51,suluova,40.8313,35.6479,275.07,93,100,0.0,TR,1674523681
52,kushima,31.4583,131.2333,280.5,65,26,8.46,JP,1674523627
53,berlevag,70.8578,29.0864,273.15,80,20,12.35,NO,1674523682
54,tornio,65.8481,24.1466,273.16,90,100,5.77,FI,1674523683
55,puerto ayora,-0.7393,-90.3518,297.34,96,93,3.13,EC,1674523563
